oii_3726_flux,neiii_3869_flux,oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,sii_6731_flux,Redshift,bptclass
24.01871,3.762286,56.39861,40.2838,128.4151,167.0265,27.11935,0.1315158,4
21.44785,0.1074571,12.30203,15.31487,17.57924,76.40859,15.08073,0.0456523,1
48.57775,0.3489757,14.36026,70.65676,102.9631,297.5951,27.29667,0.1215755,2
25.21693,8.90406,68.8668,39.86888,129.9966,174.6208,26.54523,0.1315038,4
371.3594,21.3371,242.7913,355.5628,382.2177,1425.261,202.5497,0.03580908,1
0,3.369695,135.8967,97.55373,43.89219,288.7176,51.44818,0.006036635,1
54.40707,4.887266,37.07362,37.09747,111.4033,139.3886,49.19392,0.08925618,3
35.15057,2.734297,33.11293,28.48076,116.9966,143.5105,50.12525,0.0893447,3
48.68924,0.8949105,28.71963,109.2574,248.9967,548.3916,74.7152,0.1231486,1
50.03485,2.732476,34.62197,111.3009,256.0729,555.7532,75.75684,0.1231987,1
343.5425,22.27381,210.5195,333.1961,359.1024,1311.788,182.8083,0.03580831,1
-1.96011,-3.338126,-0.7633727,11.66746,16.40369,44.97949,6.069345,0.1263672,2
34.20077,-1.663478,11.1799,65.58004,96.71239,290.141,23.3943,0.1215208,2
18.02791,12.03725,21.31228,4.401685,32.3471,33.48396,16.09972,0.1258571,5
18.58193,-1.54826,9.526958,32.91386,46.92726,120.0885,16.54677,0.09212417,2
-2.442431,-0.3182431,7.962362,11.63949,21.67172,56.18715,12.06474,0.06940611,2
14.01593,-5.933081,2.684711,28.99303,51.51323,140.5096,14.73748,0.1206172,2
