oii_3726_flux,neiii_3869_flux,oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,sii_6731_flux,Redshift,bptclass
25.21693,8.90406,68.8668,39.86888,129.9966,174.6208,26.54523,0.1315038,4
371.3594,21.3371,242.7913,355.5628,382.2177,1425.261,202.5497,0.03580908,1
0,3.369695,135.8967,97.55373,43.89219,288.7176,51.44818,0.006036635,1
48.68924,0.8949105,28.71963,109.2574,248.9967,548.3916,74.7152,0.1231486,1
50.03485,2.732476,34.62197,111.3009,256.0729,555.7532,75.75684,0.1231987,1
343.5425,22.27381,210.5195,333.1961,359.1024,1311.788,182.8083,0.03580831,1
-1.96011,-3.338126,-0.7633727,11.66746,16.40369,44.97949,6.069345,0.1263672,2
34.20077,-1.663478,11.1799,65.58004,96.71239,290.141,23.3943,0.1215208,2
18.02791,12.03725,21.31228,4.401685,32.3471,33.48396,16.09972,0.1258571,5
18.58193,-1.54826,9.526958,32.91386,46.92726,120.0885,16.54677,0.09212417,2
-2.442431,-0.3182431,7.962362,11.63949,21.67172,56.18715,12.06474,0.06940611,2
14.01593,-5.933081,2.684711,28.99303,51.51323,140.5096,14.73748,0.1206172,2
19.42759,-0.1751938,12.36513,16.27893,13.20481,80.99186,13.38651,0.04567251,1
11.76898,-2.686105,7.245886,29.25476,62.99851,156.4765,16.31223,0.1206084,2
8.262666,-3.284157,9.910617,31.45549,46.51873,118.3676,17.7835,0.09213265,2
-1.330543,-0.3335856,8.777528,16.61306,27.51143,59.3772,10.44801,0.06934141,2
66.30617,-7.150604,32.61568,86.22083,131.9281,350.9239,50.54429,0.06252577,1
2.709358,0.1467261,4.811323,1.599346,8.985084,15.32397,-0.8421917,0.1417113,2
62.93172,8.654655,37.32424,83.53896,129.4616,350.3976,50.20187,0.06248942,1
7.860743,0.4877318,7.136548,18.60152,40.6786,94.78371,7.147713,0.142703,2
17.9711,-0.208614,6.197324,19.85093,33.32927,78.15081,7.603252,0.142683,2
34.33548,8.795165,24.88437,11.4553,59.58081,33.51051,10.03069,0.153699,5
5.106879,5.951423,0.2681731,9.225026,17.71835,39.17488,3.432972,0.06773794,2
8.504788,-1.349584,4.341238,27.62638,28.47178,99.4229,7.888245,0.07163119,2
